Перечисление.ТипыТокенов    Русский English
НачалоПроцедуры ПРОЦЕДУРА   PROCEDURE
НачалоФункции   ФУНКЦИЯ FUNCTION
КонецПроцедуры  КОНЕЦПРОЦЕДУРЫ  ENDPROCEDURE
КонецФункции    КОНЕЦФУНКЦИИ    ENDFUNCTION
ЗнакРавно   =   =
ОткрывающаясяСкобка (   (
ЗакрывающаясяСкобка )   )
КлючевоеСловоЭкспорт    ЭКСПОРТ EXPORT
Запятая ,   ,
КонецВыражения  ;   ;
Сложение    +   +
Вычитание   -   -
Умножение   *   *
Деление /   /
Точка   .   .
БулевоКонстанта ЛОЖЬ    FALSE
БулевоКонстанта ИСТИНА  TRUE
ОператорНовый   НОВЫЙ   NEW
ОператорЕсли    ЕСЛИ    IF
ОператорТогда   ТОГДА   THEN
ОператорИначе   ИНАЧЕ   ELSE
ОператорИначеЕсли   ИНАЧЕЕСЛИ   ELSEIF
ОператорКонецЕсли   КОНЕЦЕСЛИ   ENDIF
ЗнакМеньше  <   <
ЗнакБольше  >   >
ОператорДля ДЛЯ FOR
ОператорПока    ПОКА    WHILE
ОператорКонецЦикла  КОНЕЦЦИКЛА  ENDLOOP
ОператорПопытка ПОПЫТКА TRY
ОператорКонецПопытки    КОНЕЦПОПЫТКИ    ENDTRY
ДирективаЕсли   #ЕСЛИ   #IF
ДирективаТогда  #ТОГДА  #THEN
ДирективаИначеЕсли  #ИНАЧЕЕСЛИ  #ELSEIF
ДирективаИначе  #ИНАЧЕ  #ELSE
ДирективаКонецЕсли  #КОНЕЦЕСЛИ  #ENDIF
ДирективаВставка    #ВСТАВКА    #INSERT
ДирективаКонецВставки   #КОНЕЦВСТАВКИ   #ENDINSERT
ДирективаУдаление   #УДАЛЕНИЕ   #DELETE
ДирективаКонецУдаления  #КОНЕЦУДАЛЕНИЯ  #ENDDELETE
ДирективаОбласть    #ОБЛАСТЬ    #REGION
ДирективаКонецОбласти   #КОНЕЦОБЛАСТИ   #ENDREGION
КлючевоеСловоИ  И   AND
КлючевоеСловоИЛИ    ИЛИ OR
КлючевоеСловоНЕ НЕ  NOT
ОбъявлениеПеременной    ПЕРЕМ   VAR
КлючевоеСловоЦикл   ЦИКЛ    LOOP
КлючевоеСловоКаждого    КАЖДОГО EACH
КлючевоеСловоЗнач   ЗНАЧ    VAL
